scenario,run,total_treatmentfailures,year
cycling_asaq_al_1y,7,48268844,2031
cycling_asaq_al_1y,8,50417204,2031
cycling_asaq_al_1y,9,47714184,2031
cycling_asaq_al_1y,10,48931940,2031
cycling_asaq_al_1y,11,48918228,2031
cycling_asaq_al_1y,12,48225716,2031
cycling_asaq_al_1y,13,49828680,2031
cycling_asaq_al_1y,14,46284576,2031
cycling_asaq_al_1y,15,47959236,2031
cycling_asaq_al_1y,16,48749636,2031
cycling_asaq_al_1y,17,49611888,2031
cycling_asaq_al_1y,18,47999820,2031
cycling_asaq_al_1y,19,48562348,2031
cycling_asaq_al_1y,20,49493744,2031
cycling_asaq_al_1y,21,50245420,2031
cycling_asaq_al_1y,22,47517132,2031
cycling_asaq_al_1y,23,48348412,2031
cycling_asaq_al_1y,24,48283336,2031
cycling_asaq_al_1y,25,48060412,2031
cycling_asaq_al_1y,26,46878300,2031
cycling_asaq_al_1y,27,48473476,2031
cycling_asaq_al_1y,28,46844096,2031
cycling_asaq_al_1y,29,50719928,2031
cycling_asaq_al_1y,30,48517508,2031
cycling_asaq_al_1y,31,50502712,2031
cycling_asaq_al_2y,0,44333748,2031
cycling_asaq_al_2y,1,44921356,2031
cycling_asaq_al_2y,2,45676084,2031
cycling_asaq_al_2y,3,44823900,2031
cycling_asaq_al_2y,4,43642192,2031
cycling_asaq_al_2y,5,44423432,2031
cycling_asaq_al_2y,6,43863884,2031
cycling_asaq_al_2y,7,44422536,2031
cycling_asaq_al_2y,8,44519796,2031
cycling_asaq_al_2y,9,44873968,2031
cycling_asaq_al_2y,10,44743864,2031
cycling_asaq_al_2y,11,45008624,2031
cycling_asaq_al_2y,12,46757128,2031
cycling_asaq_al_2y,13,45313120,2031
cycling_asaq_al_2y,14,43994968,2031
cycling_asaq_al_2y,15,44016996,2031
cycling_asaq_al_2y,16,45579412,2031
cycling_asaq_al_2y,17,46055420,2031
cycling_asaq_al_2y,18,44236288,2031
cycling_asaq_al_2y,19,45828940,2031
cycling_asaq_al_2y,20,44807664,2031
cycling_asaq_al_2y,21,43737020,2031
cycling_asaq_al_2y,22,44149808,2031
cycling_asaq_al_2y,23,46151708,2031
cycling_asaq_al_2y,24,47055444,2031
cycling_asaq_al_2y,25,44854108,2031
cycling_asaq_al_2y,26,43978508,2031
cycling_asaq_al_2y,27,43582820,2031
cycling_asaq_al_2y,28,42264844,2031
cycling_asaq_al_2y,29,44502536,2031
cycling_asaq_al_2y,30,43313872,2031
cycling_asaq_al_2y,31,46494452,2031
cycling_asaq_al_3y,0,48908240,2031
cycling_asaq_al_3y,1,47972256,2031
cycling_asaq_al_3y,2,49830996,2031
cycling_asaq_al_3y,3,48477068,2031
cycling_asaq_al_3y,4,46932516,2031
cycling_asaq_al_3y,5,50732252,2031
cycling_asaq_al_3y,6,49900764,2031
cycling_asaq_al_3y,7,48342856,2031
cycling_asaq_al_3y,8,48823648,2031
cycling_asaq_al_3y,9,49747364,2031
cycling_asaq_al_3y,10,49121024,2031
cycling_asaq_al_3y,11,50905496,2031
cycling_asaq_al_3y,12,47226520,2031
cycling_asaq_al_3y,13,49067864,2031
cycling_asaq_al_3y,14,47898976,2031
cycling_asaq_al_3y,15,47949804,2031
cycling_asaq_al_3y,16,49457728,2031
cycling_asaq_al_3y,17,50763196,2031
cycling_asaq_al_3y,18,49801304,2031
cycling_asaq_al_3y,19,49620424,2031
cycling_asaq_al_3y,20,49745472,2031
cycling_asaq_al_3y,21,47876324,2031
cycling_asaq_al_3y,22,50012076,2031
cycling_asaq_al_3y,23,50209884,2031
cycling_asaq_al_3y,24,48764704,2031
cycling_asaq_al_3y,25,49983792,2031
cycling_asaq_al_3y,26,49542820,2031
cycling_asaq_al_3y,27,47344332,2031
cycling_asaq_al_3y,28,50715920,2031
cycling_asaq_al_3y,29,47716184,2031
cycling_asaq_al_3y,30,47843600,2031
cycling_asaq_al_3y,31,49267680,2031
cycling_asaq_al_dhappq_1y,0,47958648,2031
cycling_asaq_al_dhappq_1y,1,46286308,2031
cycling_asaq_al_dhappq_1y,2,45797676,2031
cycling_asaq_al_dhappq_1y,3,46040432,2031
cycling_asaq_al_dhappq_1y,4,44601012,2031
cycling_asaq_al_dhappq_1y,5,45108596,2031
cycling_asaq_al_dhappq_1y,6,44773452,2031
cycling_asaq_al_dhappq_1y,7,45044572,2031
cycling_asaq_al_dhappq_1y,8,44599864,2031
cycling_asaq_al_dhappq_1y,9,43655820,2031
cycling_asaq_al_dhappq_1y,10,45785228,2031
cycling_asaq_al_dhappq_1y,11,45421740,2031
cycling_asaq_al_dhappq_1y,12,44909304,2031
cycling_asaq_al_dhappq_1y,13,45541684,2031
cycling_asaq_al_dhappq_1y,14,46317208,2031
cycling_asaq_al_dhappq_1y,15,44948204,2031
cycling_asaq_al_dhappq_1y,16,45275232,2031
cycling_asaq_al_dhappq_1y,17,46643148,2031
cycling_asaq_al_dhappq_1y,18,45434556,2031
cycling_asaq_al_dhappq_1y,19,45179480,2031
cycling_asaq_al_dhappq_1y,20,47495640,2031
cycling_asaq_al_dhappq_1y,21,45401904,2031
cycling_asaq_al_dhappq_1y,22,44733092,2031
cycling_asaq_al_dhappq_1y,23,44246364,2031
cycling_asaq_al_dhappq_1y,24,45807148,2031
cycling_asaq_al_dhappq_1y,25,47246092,2031
cycling_asaq_al_dhappq_1y,26,46815380,2031
cycling_asaq_al_dhappq_1y,27,46239124,2031
cycling_asaq_al_dhappq_1y,28,47990052,2031
cycling_asaq_al_dhappq_1y,29,46609148,2031
cycling_asaq_al_dhappq_1y,30,44377880,2031
cycling_asaq_al_dhappq_1y,31,44974040,2031
cycling_asaq_al_dhappq_2y,0,44543984,2031
cycling_asaq_al_dhappq_2y,1,45812316,2031
cycling_asaq_al_dhappq_2y,2,43477344,2031
cycling_asaq_al_dhappq_2y,3,45338168,2031
cycling_asaq_al_dhappq_2y,4,44058152,2031
cycling_asaq_al_dhappq_2y,5,44242308,2031
cycling_asaq_al_dhappq_2y,6,46453440,2031
cycling_asaq_al_dhappq_2y,7,45393416,2031
